owner_id,full_name,passport_series,passport_number,passport_issued_by,address,phone,email
1,Козлова Ирина Ефимовна,2824,126225,АО «Чернова Ершов»,"г. Артем, алл. Лесозаводская, д. 983, 379402",8 542 351 16 15,ernest_40@example.net
2,Владилен Матвеевич Федоров,5506,356787,Сафонов Лимитед,"клх Братск, бул. Курский, д. 2, 164752",8 534 192 8327,opotapov@example.net
3,Зимина Лидия Аркадьевна,4657,246316,ОАО «Голубев Калашникова»,"к. Бологое, пер. Островского, д. 77, 242388",+79696532871,samolovavalerija@example.org
4,Вишнякова Наталья Эльдаровна,2679,809570,НПО «Фадеев»,"д. Александров Гай, бул. Донской, д. 6 стр. 346, 048281",+78932528809,selivan_01@example.com
5,Ксения Егоровна Павлова,9935,191161,ЗАО «Фомичева Яковлев»,"ст. Боровск, ш. Кедровое, д. 97 стр. 94, 383465",8 (871) 331-50-98,haritonpoljakov@example.org
6,Евдокимов Аристарх Давыдович,7912,133326,РАО «Кононова»,"д. Когалым, бул. Вахитова, д. 38 к. 4/8, 311656",8 701 065 13 33,prohor_1977@example.org
7,Ипат Артемьевич Зуев,1488,198246,Лазарев Инк,"ст. Ковров, пр. Вахитова, д. 4/7, 260647",+76872343098,dementevalarisa@example.org
8,Архипов Сила Владиленович,4582,343962,ЗАО «Сорокин»,"д. Борзя, ш. Белорусское, д. 2/4 стр. 791, 435346",+7 (475) 107-99-11,ermil_1998@example.org
9,Ангелина Ефимовна Фомина,9279,731262,АО «Шашков-Пахомова»,"клх Усть-Камчатск, бул. Крайний, д. 24 к. 582, 935348",8 (401) 640-05-24,ninelzhdanova@example.net
10,Авксентий Брониславович Воробьев,1434,688508,ФСК Лидер,"д. Усть-Ишим, пр. Полярный, д. 145, 331586",82322602563,gorde16@example.org
11,Елена Геннадьевна Зыкова,4257,850800,"ИП «Костин, Харитонова и Горбачева»","г. Калуга, наб. Медицинская, д. 945 к. 9/6, 142940",+7 965 569 81 69,iraklisolovev@example.net
12,Спиридон Герасимович Громов,9928,539898,"РАО «Русакова, Казакова и Князева»","клх Гремячинск (Бурят.), наб. 9 мая, д. 7 стр. 7, 823662",89468044369,ruben_77@example.net
13,Мухин Давыд Архипович,4611,571029,ЗАО «Шестакова-Калинина»,"ст. Кисловодск, наб. Хвойная, д. 12 стр. 237, 693676",+7 (201) 632-8708,vitalipanov@example.org
14,Светлана Федоровна Кириллова,5557,948749,ОАО «Константинова-Доронин»,"п. Сорочинск, наб. Покровская, д. 9 к. 4/5, 143455",8 (122) 362-3166,tit_76@example.org
15,Гаврилов Никита Адамович,1106,895667,Мишин Групп,"к. Охотск, пер. Проточный, д. 4/5 к. 8/1, 562729",8 (069) 901-6272,osipovamarina@example.com
16,Большаков Мартын Тарасович,3615,832052,ОАО «Гущина-Зимина»,"ст. Ведено, ул. Интернациональная, д. 4 к. 400, 092327",+7 937 452 99 12,velimir90@example.com
17,Бурова Марина Никифоровна,7924,456778,Казаньоргсинтез,"г. Малоярославец, пер. Киевский, д. 758 стр. 2, 067165",8 (262) 849-87-76,ljubomir31@example.com
18,Зинаида Рубеновна Ермакова,5552,263032,Денисова Групп,"с. Мураши, пр. Сахалинский, д. 5, 494808",+7 (136) 783-7770,anisimovefrem@example.com
19,Тимофеева Фаина Максимовна,4527,900581,"ЗАО «Михайлова, Пахомов и Якушев»","клх Серафимович, наб. Ударная, д. 41 к. 2, 337498",84134352408,irinasoloveva@example.org
