owner_id,full_name,passport,share
1,Козлова Ирина Ефимовна,2824 126225,1/3
2,Зиновьев Варфоломей Афанасьевич,5012 334053,1/2
3,Морозова Алевтина Богдановна,2679 809570,1/1
4,Селезнев Эраст Адрианович,7912 133326,1/1
5,Терентьева София Николаевна,2535 329258,1/2
6,Сафонов Клавдий Абрамович,9279 731262,1/1
7,Галина Олеговна Александрова,4257 850800,1/4
8,Ермолай Игоревич Орлов,4611 571029,1/3
9,Белов Мирон Изотович,1106 895667,1/2
10,Константинова Алина Робертовна,7924 456778,1/3
11,Турова Марина Артемовна,3547 325772,1/3
12,Никонова Юлия Михайловна,2674 197251,1/4
13,Крюкова Ангелина Аскольдовна,2584 476417,1/3
14,Мамонтова Кира Артемовна,5333 946335,1/1
15,Антонина Мироновна Матвеева,8527 662275,1/1
16,Михаил Владиславович Фомин,7201 182627,1/3
17,Карл Артёмович Кошелев,6925 705397,1/2
18,Лукина Зинаида Валериевна,2139 148050,1/2
19,Касьян Гурьевич Зимин,5741 183667,1/2
20,Аполлон Давыдович Бирюков,2654 498591,1/3
21,Веселов Олег Евстигнеевич,8428 766563,1/3
22,Сысоев Ферапонт Жанович,3664 488162,1/3
23,Чернов Николай Фокич,4432 802729,1/3
24,Кудрявцев Иосиф Евсеевич,2169 738720,1/2
25,Наталья Харитоновна Власова,9751 864544,1/2
26,Всеслав Яковлевич Горшков,3677 584714,1/4
27,Васильев Венедикт Витальевич,5422 771088,1/2
28,Вишнякова Наталья Эльдаровна,6313 983794,1/1
29,Щербаков Эдуард Фролович,4752 961722,1/1
30,Лыткина Таисия Андреевна,6168 520651,1/3
31,Андреева Синклитикия Ивановна,2084 321231,1/3
32,Лукия Вадимовна Анисимова,4483 787277,1/4
33,Радован Ааронович Пестов,7482 774079,1/4
34,Молчанова Иванна Сергеевна,3340 377746,1/2
35,Прасковья Борисовна Беспалова,5040 881177,1/3
36,Одинцова Прасковья Юльевна,8019 711878,1/4
37,Давыдов Гостомысл Ааронович,6930 329974,1/2
38,Емельянова Акулина Вадимовна,9348 617488,1/1
39,Ксения Егоровна Павлова,1771 214975,1/2
40,Ермаков Богдан Архипович,3621 930555,1/4
41,Авдеева Ангелина Тарасовна,2040 503457,1/4
42,Василиса Руслановна Блохина,8668 654816,1/3
43,Белоусова Светлана Юльевна,1188 813328,1/1
44,Еремей Германович Кулаков,9797 887352,1/3
45,Мстислав Феоктистович Мясников,6573 216970,1/3
46,Ковалева Зинаида Дмитриевна,8123 265840,1/4
47,Лебедев Харитон Давыдович,1053 857168,1/3
48,Иванова Анжела Аркадьевна,9201 898975,1/2
49,Лихачев Амос Игнатович,9317 211579,1/3
50,Фролов Клавдий Чеславович,9317 738551,1/2
51,Титов Филимон Харламович,3504 492077,1/2
52,Мухин Орест Геннадиевич,9837 916449,1/1
53,Прохоров Петр Ильич,6310 612340,1/1
54,Руслан Антипович Муравьев,2832 480612,1/3
55,Юдина Антонина Аркадьевна,4923 160738,1/2
56,Мартьян Борисович Крылов,2290 189814,1/4
57,Беляков Прохор Викентьевич,2133 897549,1/2
58,Клавдий Фомич Крылов,3103 791798,1/4
59,Анжела Павловна Константинова,3705 377932,1/4
60,Таисия Болеславовна Васильева,4470 665492,1/2
61,Потапова Агафья Богдановна,6107 518373,1/3
62,Жанна Викторовна Исакова,8177 642717,1/4
63,Ермил Трифонович Лихачев,2982 359947,1/2
64,Щербаков Авдей Терентьевич,2049 454508,1/1
65,Радован Ермилович Родионов,4770 717024,1/2
66,Гурьева Тамара Рудольфовна,1117 174441,1/1
67,Анисимов Ерофей Антонович,4750 170674,1/1
68,Потапова Анастасия Кузьминична,6413 174299,1/2
69,Логинов Самсон Юлианович,5562 801474,1/4
70,Светлана Валериевна Павлова,4510 665427,1/2
71,Анжелика Геннадиевна Виноградова,8744 354801,1/4
72,Муравьева Жанна Ниловна,7669 299659,1/1
73,Белозеров Филарет Денисович,2588 790993,1/4
74,Волкова Юлия Артемовна,6804 544154,1/4
75,Фортунат Жанович Колобов,8651 864491,1/1
76,Лонгин Демидович Белоусов,2612 163556,1/4
77,Ладимир Фокич Веселов,6559 939482,1/1
78,Анжела Андреевна Рыбакова,5073 300896,1/2
79,Воронцова Антонина Анатольевна,9786 570405,1/2
80,Селезнева Иванна Владимировна,7912 292401,1/3
81,Ангелина Ефимовна Фомина,8579 361941,1/1
82,Порфирий Ефимьевич Костин,8260 947272,1/1
83,Светлана Андреевна Харитонова,1828 783823,1/1
84,Клавдия Борисовна Субботина,2528 890170,1/2
85,Иванна Вадимовна Белозерова,3724 526156,1/4
86,Жданов Герман Егорович,8886 324130,1/4
87,Епифан Измаилович Ершов,1960 272634,1/4
88,Красильникова Иванна Сергеевна,1035 509386,1/3
89,Антонин Бенедиктович Калашников,8454 399105,1/4
90,Кирилл Андреевич Смирнов,8973 262316,1/2
91,Владислав Евсеевич Сорокин,5861 328275,1/1
92,Жданова Наталья Федоровна,9883 163918,1/3
93,Воробьев Геннадий Алексеевич,1936 152578,1/4
94,Фаина Тимуровна Куликова,9238 994141,1/2
95,Андроник Ефремович Громов,1931 632496,1/1
96,Алина Матвеевна Никитина,4044 171849,1/1
97,Харитонова Валентина Матвеевна,4853 523389,1/1
98,Надежда Яковлевна Дементьева,5033 707040,1/1
99,Тетерин Изот Владиславович,2343 539589,1/3
100,Дарья Наумовна Козлова,5272 314181,1/3
101,Стрелков Мариан Фадеевич,4910 378517,1/4
102,Зинаида Ивановна Яковлева,3144 804318,1/3
103,Валентина Мироновна Уварова,8491 431535,1/1
104,Воронов Ефрем Германович,1152 580547,1/1
105,Оксана Макаровна Тимофеева,2200 663750,1/2
106,Елизавета Дмитриевна Козлова,9288 378082,1/2
107,Власова Лора Игоревна,6718 172132,1/2
108,Ирина Макаровна Носкова,7054 398830,1/2
109,Ларионова Синклитикия Леоновна,8179 974244,1/3
110,Валерия Захаровна Борисова,9666 108203,1/3
111,Белоусова Александра Борисовна,2697 240814,1/3
